,Unnamed: 0,N,Dimension,Subdimension,Pregunta,Opciones,Tipo de Pregunta,Dependencia,Comentario
20,,21,Humana,Motivacion,¿En qué nivel percibe que se encuentra la motivación de los colaboradores para participar en iniciativas de gestión del conocimiento?,"1 (Muy baja), 5 (Muy alta)",Likert,,
21,,22,Humana,Motivacion,La organización ofrece reconocimientos a sus colaboradores por su participación en la estrategia de gestión del conocimiento,"Sí, No, No sé",Sí o No,,"""No sé"" igual a ""No"". ""No sé"" = 1"
22,,23,Humana,Motivacion,¿Considera que los reconocimientos ofrecidos motivan a las personas a participar en la estrategia de gestión del conocimiento?,"1 (Muy en desacuerdo), 5 (Muy de acuerdo)",Likert,1.0,"Depende de la pregunta 22. Si marcó Sí, mostrar la pregunta"
23,,24,Procesos,Matriz de conocimiento,¿Conoce usted las matrices de conocimiento?,"Sí, No",Sí o No,,
24,,25,Procesos,Matriz de conocimiento,¿Cuán efectivo considera el uso de las matrices de conocimiento estratégico en la organización?,"1 (Nada efectivo), 2 (Poco efectivo), 3 (Moderadamente efectivo), 4 (Efectivo), 5 (Muy efectivo)",Likert,1.0,"Depende de la pregunta 24. Si marcó Sí, mostrar la pregunta"
25,,26,Procesos,Ciclos de conversion,"¿La organización ha desarrollado los procesos y las herramientas necesarios para la identificación, la captura del conocimiento, el almacenamiento, la distribución (biblioteca, foro, agenda, directorio, eventos de aprendizaje y socialización), y la aplicación del conocimiento?","Sí, No",Sí o No,,
26,,27,Procesos,Ciclos de conversion,"¿Cuán efectivas han sido las herramientas tecnológicas para la identificación, la captura, el almacenamiento, la distribución y la aplicación del conocimiento?","1 (Nada efectivo), 2 (Poco efectivo), 3 (Moderadamente efectivo), 4 (Efectivo), 5 (Muy efectivo)",Likert,1.0,"Depende de la pregunta 26. Si marcó Sí, mostrar la pregunta"
27,,28,Procesos,Procesos,¿Conoces los procesos de la gestión del conocimiento implementados en la organización?,"Sí, No",Sí o No,,
28,,29,Procesos,Procesos,¿Cuánto considera que los procesos implementados para la gestión del conocimiento contribuyen a mejorar la productividad de los colaboradores?,"1 (Nada), 2 (Poco), 3 (Moderadamente), 4 (Bastante), 5 (Mucho)",Likert,1.0,"Depende de la pregunta 28. Si marcó Sí, mostrar la pregunta"
29,,30,Procesos,Roles,"¿La organización ha definido, formalizado, documentado (a través de manuales o con la descripción de trabajo) y comunicado los roles necesarios para la gestión del conocimiento dentro de la organización?","Sí, No, No sé",Opción única,,"""No sé"" igual a ""No"". ""No sé"" = 1"
30,,31,Procesos,Roles,"¿Cuánto considera que los colaboradores conocen, han asumido y realizan los roles definidos por la organización para la gestión del conocimiento?","1 (Nada), 2 (Poco), 3 (Moderadamente), 4 (Bastante), 5 (Mucho)",Likert,1.0,"Depende de la pregunta 30. Si marcó Sí, mostrar la pregunta"
31,,32,Tecnologia,Tipo de tecnologia,¿Considera que la organización ha implementado herramientas tecnológicas necesarias para la gestión del conocimiento?,"Sí, No",Sí o No,,
32,,33,Tecnologia,Tipo de tecnologia,¿Cuán efectivas considera que son las herramientas tecnológicas (Viva Engage y Sharepoint) para la gestión del conocimiento en la organización?,"1 (Nada efectivas), 2 (Poco efectivas), 3 (Moderadamente efectivas), 4 (Efectivas), 5 (Muy efectivas)",Likert,1.0,"Depende de la pregunta 32. Si marcó Sí, mostrar la pregunta. De haber marcado ""No"", marcar 1"
33,,34,Tecnologia,Uso de tecnologia,¿Cuánto considera que la capacitación brindada a los colaboradores sobre las herramientas tecnológicas ha sido óptima?,"1 (Muy en desacuerdo), 5 (Muy de acuerdo)",Likert,1.0,"Depende de la pregunta 32. Si marcó Sí, mostrar la pregunta. De haber marcado ""No"", marcar 1"
34,,35,Indicadores,Operativos,¿La organización ha implementado indicadores que miden la participación y aporte de los colaboradores en la estrategia de gestión del conocimiento?,"Sí, No",Sí o No,,
35,,36,Indicadores,Operativos,¿Cuán efectivos considera que son los indicadores que miden la participación y aporte de los colaboradores en la estrategia de gestión del conocimiento?,"1 (Nada efectivas), 2 (Poco efectivas), 3 (Moderadamente efectivas), 4 (Efectivas), 5 (Muy efectivas)",Likert,1.0,"Depende de la pregunta 35. Si marcó sí, mostrar la pregunta"
36,,37,Indicadores,Valor,¿La organización ha implementado indicadores que miden el valor que aporta la estrategia de gestión del conocimiento a la organización?,"Sí, No",Sí o No,,
37,,38,Indicadores,Valor,¿Cuán efectivas considera que son los indicadores que miden el valor que aporta la estrategia de gestión del conocimiento a la organización?,"1 (Nada efectivas), 2 (Poco efectivas), 3 (Moderadamente efectivas), 4 (Efectivas), 5 (Muy efectivas)",Likert,1.0,"Depende de la pregunta 37. Si marcó sí, mostrar la pregunta"
